distance,p,K,Delta,source,status,shots,fail_total,logical_fail,syndrome_fail,exception_fail,fer,fer_lo95,fer_hi95,mean_states_total,joint_matrix_rows,joint_matrix_cols
21,0.15,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618,final,40000,2745,2745,0,0,0.068625,0.0661886513624983,0.07114419614605824,2778.5747254535145,440,441
21,0.16,16384,10.0,d21 K16384 current+highest-K CI-width top-up to 0.005 seed20260750++d21 K16384 extra seed20260618,final,60000,6479,6479,0,0,0.10798333333333333,0.10552503653257041,0.11049182411652851,4256.8072483371125,440,441
21,0.17,16384,10.0,d21 K16384 current+highest-K CI-width top-up to 0.005 seed20260750++highest-K CI-width top-up to 0.005 seed20260750++d21 K16384 extra seed20260618+d21 K16384 highp extra seed20260621+d21 K16384 highp extra seed20260622,final,86000,14426,14426,0,0,0.16774418604651162,0.16526185154601958,0.17025620171020733,6348.436938538205,440,441
21,0.1725,16384,10.0,d21 K16384 current+highest-K CI-width top-up to 0.005 seed20260750++highest-K CI-width top-up to 0.005 seed20260750++d21 K16384 extra seed20260618+d21 K16384 highp extra seed20260621+d21 K16384 highp extra seed20260622,final,92000,16614,16614,0,0,0.18058695652173912,0.17811460864839934,0.18308597745641764,6975.434861505472,440,441
21,0.175,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618+d21 K16384 highp extra seed20260621+d21 K16384 highp extra seed20260622+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p0175_s20000_seed20260630_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p0175_s20000_seed20260631_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p0175_s20000_seed20260632_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p0175_s20000_seed20260633_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p0175_s20000_seed20260634_cleps_v1,final,150000,29831,29831,0,0,0.19887333333333335,0.19686110273701335,0.20090098707720155,7648.919779697657,440,441
21,0.1775,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618+d21 K16384 highp extra seed20260621+d21 K16384 highp extra seed20260622+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p01775_s30000_seed20260680_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p01775_s30000_seed20260681_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p01775_s30000_seed20260682_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p01775_s30000_seed20260683_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p01775_s30000_seed20260684_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p01775_s30000_seed20260701_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p01775_s30000_seed20260702_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p01775_s30000_seed20260703_cleps_v1,partial,230000,49703,49703,0,0,0.2161,0.21442268741046086,0.21778679582383878,8346.669320003944,440,441
21,0.18,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618+d21 K16384 highp extra seed20260621+d21 K16384 highp extra seed20260622+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p0180_s30000_seed20260690_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p0180_s30000_seed20260691_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p0180_s30000_seed20260692_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p0180_s30000_seed20260693_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p0180_s30000_seed20260694_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p0180_s30000_seed20260704_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p0180_s30000_seed20260705_cleps_v1,partial,218000,50724,50724,0,0,0.2326788990825688,0.23090989137294543,0.23445732775463224,9061.205098691464,440,441
21,0.1825,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618+d21 K16384 highp extra seed20260621+d21 K16384 highp extra seed20260622+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01825_s20000_seed20260640_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01825_s20000_seed20260641_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01825_s20000_seed20260642_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01825_s20000_seed20260643_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01825_s20000_seed20260644_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01825_s20000_seed20260645_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01825_s20000_seed20260646_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01825_s20000_seed20260647_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01825_s20000_seed20260648_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01825_s20000_seed20260649_cleps_v1,partial,244000,61127,61127,0,0,0.2505204918032787,0.24880511654388143,0.2522437223919332,9849.161717464034,440,441
21,0.185,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618+d21 K16384 highp extra seed20260621+d21 K16384 highp extra seed20260622+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p0185_s30000_seed20260700_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p0185_s30000_seed20260701_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p0185_s30000_seed20260702_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p0185_s30000_seed20260703_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p0185_s30000_seed20260704_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p0185_s30000_seed20260706_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p0185_s30000_seed20260707_cleps_v1,partial,208000,55443,55443,0,0,0.2665528846153846,0.2646570383490746,0.26845735358283584,10634.912441337432,440,441
21,0.1875,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618+d21 K16384 highp extra seed20260621+d21 K16384 highp extra seed20260622+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01875_s20000_seed20260660_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01875_s20000_seed20260661_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01875_s20000_seed20260662_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01875_s20000_seed20260663_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01875_s20000_seed20260664_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01875_s20000_seed20260665_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01875_s20000_seed20260666_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01875_s20000_seed20260667_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01875_s20000_seed20260668_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01875_s20000_seed20260669_cleps_v1,partial,243000,69992,69992,0,0,0.2880329218106996,0.28623577193342353,0.28983677333349145,11465.481312579903,440,441
21,0.19,16384,10.0,d21 K16384 current+highest-K CI-width top-up to 0.005 seed20260750++highest-K CI-width top-up to 0.005 seed20260750++highest-K CI-width top-up to 0.005 seed20260750++highest-K CI-width top-up to 0.005 seed20260750++d21 K16384 extra seed20260618+d21 K16384 highp extra seed20260621+d21 K16384 highp extra seed20260622,final,134000,41222,41222,0,0,0.30762686567164177,0.3051613801782301,0.31010338060220516,12318.425453887026,440,441
