stage,state_key,parent_state_key,local_state,merged_from_count,rank,kept,prefix_mass_P,future_score_F,score_P_plus_alpha_F,detector_mask,logical_mask,next_column_index,next_boundary_column_index,alpha,Delta,K,best_score_after_next_column,cutoff_score_after_next_column,closure_rejected
step2_branch,27037452836913331631403824999528626489313727729495185686001088395805854021976064,27037452836913331631403824999528626489313727729495185686001088395805854021976064,0,1,16,True,-22.04077700712633,-26.6728439409203,-43.37905215986257,5575186310068113982787742529958138251051008,3736,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,27037452836913331631403824999528626489313812800086917158556993524837986863153152,27037452836913331631403824999528626489313727729495185686001088395805854021976064,1,1,16,True,-26.972881023303778,-29.538846380480468,-50.60395812768815,5575271380659845455343647658990271092228096,3736,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,5575271370264950839207098752661842821120000,5575271370264950839207098752661842821120000,0,1,17,True,-26.972880977046046,-20.888233583394594,-43.68346784376172,5575271370264950839207098752661842821120000,0,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,5575186299673221842531272194390259778191360,5575271370264950839207098752661842821120000,1,1,17,True,-31.904984993223493,-29.509311691369494,-55.51243434631909,5575186299673221842531272194390259778191360,0,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,28021685595430519292504178372102473700491337639097411523806657500661983408553984,28021685595430519292504178372102473700491337639097411523806657500661983408553984,0,1,18,True,-23.3587198898402,-25.587190185280434,-43.82847203806455,1350012395026257922170747006035689472,3872,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,28021685595430519292504178372102473700491422709689142996362562629694116249731072,28021685595430519292504178372102473700491337639097411523806657500661983408553984,1,1,18,True,-28.290823906017646,-28.453192624840618,-51.05337800589014,86420604126498813827299779138876866560,3872,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,18758318456445223658618499571407441072235959632092181770395017165343072920272896,18758318456445223658618499571407441072235959632092181770395017165343072920272896,0,1,19,True,-28.882926529010614,-18.660201541109615,-43.81108776189831,6222116258410396002888556061145918603264,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,18758318456445223658618499571407441072235874561500452773719190607071489877344256,18758318456445223658618499571407441072235959632092181770395017165343072920272896,1,1,19,True,-33.815030545188066,-27.28127964908451,-55.64005426445567,6137045666681399327061997789562875674624,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,57896044618658097711785492504343955320569806962687064418319015190721940422656,57896044618658097711785492504343955320569806962687064418319015190721940422656,0,1,20,True,-26.97288102330377,-21.351639140282092,-44.05419233552945,1393934814629866782398590223186765375602688,8,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,57896044618658097711785492504343955320484736370958067742492456919138897494016,57896044618658097711785492504343955320569806962687064418319015190721940422656,1,1,20,True,-31.904985039481218,-29.972717248256988,-55.883158838086814,1393849744038137785722763664915182332674048,8,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,121695695561949307923958406840320,121695695561949307923958406840320,0,1,21,True,-20.396742857371148,-30.886062431314542,-45.105592802422784,121695695561949307923958406840320,0,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,85070713424692237775866195541449768960,121695695561949307923958406840320,1,1,21,True,-25.328846873548596,-22.264984323339654,-43.14083433222032,85070713424692237775866195541449768960,0,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,18758318456445223658618499571407441072235864093829984729566652204210615270506496,18758318456445223658618499571407441072235864093829984729566652204210615270506496,0,1,22,True,-26.97288102330376,-21.519001846162908,-44.18808250023409,6126577996213355174523594928688268836864,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,18758318456445223658618499571407441072235949164421716202122557333242748111683584,18758318456445223658618499571407441072235864093829984729566652204210615270506496,1,1,22,True,-31.904985039481208,-24.385004285723078,-51.412988468059666,6211648587944827730428723960821110013952,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,12968713994579413887439950320973045679566280820489392140602812403431328970702848,12968713994579413887439950320973045679566280820489392140602812403431328970702848,0,1,23,True,-24.275008580093335,-25.10539397780112,-44.359323762334235,42537937648968183562994545058451030016,1792,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,12968713994579413887439950320973045679566365891081123613158717532463461811879936,12968713994579413887439950320973045679566280820489392140602812403431328970702848,1,1,23,True,-29.207112596270782,-27.97139641736129,-51.58422973015982,127608529380440739468123577191292207104,1792,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,57896044618658097711785492504343955320474268700490023589954054058264290656256,57896044618658097711785492504343955320474268700490023589954054058264290656256,0,1,24,True,-25.062835517596916,-24.210439445335385,-44.431187073865225,1393839276367669741570225262054307725836288,8,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,57896044618658097711785492504343955320559339292221496145859183090397131833344,57896044618658097711785492504343955320474268700490023589954054058264290656256,1,1,24,True,-29.994939533774364,-27.076441884895555,-51.65609304169081,1393924346959401214126130391086440567013376,8,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,18758318456445223658618499571407441072229749645049374116551294691733325685456896,18758318456445223658618499571407441072229749645049374116551294691733325685456896,0,1,25,True,-25.06283551759692,-24.363575562047373,-44.553695967234816,12129215602742159166082451398683787264,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,18758318456445223658618499571407441072229834715641105589107199820765458526633984,18758318456445223658618499571407441072229749645049374116551294691733325685456896,1,1,25,True,-29.994939533774367,-27.229578001607543,-51.77860193506041,97199807334214715071211483531524964352,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
